sentence,label
How to calculate my entitlement of leave?,2000
How many AL entitled?,2000
How many ML entitled?,2000
How many RL entitled?,2000
What is my AL entitlement?,2000
What is my ML entitlement?,2000
What is my RL entitlement?,2000
What is my Annual Leave entitlement?,2000
What is my Replacement Leave entitlement?,2000
What is my Medical Leave entitlement?,2000
How can I check my leave entitlement in the system?,2000
Where can I view all my leave entitlements at once?,2000
How is my leave entitlement calculated according to my employment contract?,2000
Can I get details on how my leave entitlements are determined?,2000
What are my leave entitlements for the year?,2000
"If I have questions about my leave entitlements, who should I contact?",2000
Does my leave entitlement change based on how long I've been with the company?,2000
How do I navigate to the page that shows my leave entitlements?,2000
Where can I find information about my leave bal and entitlements?,2000
Can I see a breakdown of my leave entitlements on the platform?,2000
Is there a way to see all my leave entitlements in one place?,2000
How do I know how much leave I am entitled to this year?,2000
Can I view my leave entitlements for multiple leave types at once?,2000
How to calculate my entitlement for Emergency Leave?,2000
How to calculate my entitlement for Annual Leave?,2000
How to calculate my entitlement for Medical Leave?,2000
What is my total leave?,2000
Can I check my leave entitlements for next year in the system?,2000
How do I find out if my leave entitlements have changed this year?,2000
Where can I view a summary of all my leave entitlements for the current year?,2000
Where can I find the info about my leave bal and entitlements?,2000
How to calc my entitlement for AL?,2000
Can I get have the details how's my leave entitlements are being determined?,2000
How do I go to the page that shows my leave entitlements?,2000
How to calculate my entitlement for EL?,2000
How to calculate my entitlement for AL?,2000
How to calculate my entitlement for MC?,2000
Can I view a breakdown of my leave entitlements in the system?,2000
calculates my leave entitlement,2000
"If I have questions about my leave entitlements, what can I do?",2000
Does my leave entitlement changed?,2000
Whats my AL entitlement?,2000
Wats my ML entitlement?,2000
Wat's my RL entitlement?,2000
Leave Entitlement Calculation,2000
Info about my leave entitlement,2000
my leave entitlement,2000
leave entitlement,2000
my leave,2000
tell me my leave entitled,2000
Are there any specific rules for the usage of EL?,2001
How's EL being recorded in the system?,2001
How can I calculate my EL entitlement?,2001
Any limit of EL days for me?,2001
How do I check my EL balance?,2001
Is there a specific el entitlement for me?,2001
No of EL entitled,2001
Total of my emergency leave entitlement,2001
Please tell me my no of el.,2001
please let me know my number of emergency leave entitled,2001
can I ask about my el entitled?,2001
my emergency leave entitled is how many?,2001
I have how many el in my entitlement?,2001
How to calculate my emergency leave entitlement?,2001
EL entitled,2001
EL entitlement,2001
How to calculate my EL entitlement?,2001
Emergency Leave entitlement,2001
Emergency Leave entitled,2001
How to calculate my emergency leave entitlement?,2001
How many days of Emergency Leave can I apply for in a year?,2001
How many days of EL can I apply for in a year?,2001
Is there a limit on the number of Emergency Leave days I can take?,2001
Is there a specific entitlement for Emergency Leave in my company?,2001
Is there a specific entitlement for EL in my company?,2001
What happens if I run out of  but need to take Emergency Leave?,2001
What happens if I run out of AL but need to take EL?,2001
What are the conditions under which I can apply for Emergency Leave?,2001
What are the conditions under which I can apply for EL?,2001
Are there any specific rules governing the use of Emergency Leave?,2001
Are there any specific rules governing the use of EL?,2001
Are there any exceptions to the limit on Emergency Leave days?,2001
How do I know if I've reached my limit for Emergency Leave days?,2001
How do I know if I have reached my limit for EL days?,2001
Is Emergency Leave tracked separately from other leave types in the system?,2001
How do I check my remaining Emergency Leave days?,2001
How do I check my remaining EL days?,2001
How is Emergency Leave recorded in the HR system?,2001
Can I apply for Emergency Leave multiple times in a year?,2001
Can I apply for EL multiple times in a year?,2001
How is my total EL entitlement calculated for the year?,2001
Number of EL entitled,2001
whats my no of el entitled for this year?,2001
my number of emergency leave entitled,2001
my emergency leave entitled is how many as per current?,2001
Tell me the info about my current el entitlement.,2001
Total of EL entitlement,2001
What attachment needed if I want to apply MC?,2002
What attachment required if I want to apply MC?,2002
What attachment needed if I want to apply Medical Leave?,2002
What attachment required if I want to apply Medical Leave?,2002
What I need attach to apply MC?,2002
What I need attach to apply Medical Leave?,2002
What attachment needed if I want to take MC?,2002
What attachment required if I want to take MC?,2002
What attachment needed if I want to take Medical Leave?,2002
What attachment required if I want to take Medical Leave?,2002
What I need attach to take MC,2002
What I need attach to take Medical Leave,2002
What attachment needed if I want to submit application for MC,2002
What attachment required if I want to submit application for MC,2002
What attachment needed if I want to submit Medical Leave application,2002
What attachment required if I want to submit Medical Leave application,2002
What I need attach to submit application for MC,2002
What I need attach to submit Medical Leave application,2002
Which document is required for mc application?,2002
Can you tell me the necessary document to apply for mc?,2002
Is there a specific document I need for a medical leave request?,2002
Do I need to provide any documentation for medical leave?,2002
What paperwork is needed to apply for medical leave?,2002
Could you specify the required document for medical leave?,2002
Do I need to attach anything when applying for medical leave?,2002
Which form or document is needed for a medical leave request?,2002
Is a medical certificate necessary to apply for leave?,2002
Should I submit any document for medical leave?,2002
Is there a required document for a medical leave application?,2002
"How do I apply for medical leave, and what document is needed?",2002
Do I need to attach a doctor's note for medical leave?,2002
What kind of documentation is needed to apply for medical leave?,2002
Are there any required documents for medical leave?,2002
Is a specific document necessary to apply for medical leave?,2002
Is there any paperwork required for medical leave?,2002
Do I need to submit any specific document for medical leave?,2002
Can I apply for medical leave without a document?,2002
Is there a mandatory document for medical leave application?,2002
Do I need to attach a document when requesting medical leave?,2002
What should be included with a medical leave application?,2002
Is a doctor's note required for medical leave?,2002
Must I attach a document to apply for medical leave?,2002
Is any supporting documentation needed for mc?,2002
Do I need to provide a document when applying for medical leave?,2002
How do I submit a medical leave application with the required documents?,2002
Should I include any document with my medical leave request?,2002
Do I have to submit a specific document to apply for medical leave?,2002
Is there any form to attach for mc application?,2002
Submit mc need to attact wat?,2002
wat are the things need to submit together with mc ,2002
"to submit mc, it needs to attach with wat?",2002
what is the reason my applied leave still show pending status,2026
what could be the possible reasons for my applied leave to still be showing as pending,2026
reason of my applied leave still in pending,2026
What could be the reason for my leave application to remain in a pending status?,2026
Could you elaborate on the specific reason my leave application is pending?,2026
What factors contribute to leave applications being placed in a pending status?,2026
Are there any common reasons that leave applications tend to be in a pending status?,2026
Can you provide more details about the reason for my leave application being in pending status?,2026
What is the reason my applied leave not yet approved?,2026
Reason of leave still in pending,2026
What causing my leave application still in pending status?,2026
What could be the reason for my leave application to remain in a pending status?,2026
Is there a specific reason for my leave application to remain pending?,2026
"What could be causing the delay in the approval of my leave application, leaving it in a pending status?",2026
My leave has not been approved yet; can you provide an explanation?,2026
What is the reason of my leave application in pending status?,2026
Can you explain the reasons behind my leave application still being pending?,2026
What factors contribute to leave applications remaining in a pending status?,2026
What is the specific reason for my leave application being stuck in a pending status?,2026
What might be the possible reasons for my leave application to still be pending?,2026
What's the reason my leave application hasn't been approved yet?,2026
Could you explain why my applied leave is still pending?,2026
Is there a specific reason for my leave request to be pending?,2026
What factors are causing my leave application to remain in pending status?,2026
How can I find out why my leave application is still pending?,2026
Wat is causing the delay in my leave approval?,2026
Why is my leave application still pending status?,2026
Can you explain the reason for the pending status of my leave?,2026
Why hasn’t my leave request been approved yet?,2026
What could be the reason for my leave application being on hold?,2026
What’s the cause of the pending status for my leave request?,2026
Why is my leave not yet approved?,2026
Is there a specific reason my leave application is pending?,2026
Could you tell me why my leave request is still pending?,2026
What might be delaying the approval of my leave?,2026
Why is there a hold on my leave application?,2026
What is holding up the approval of my leave?,2026
What’s the reason for my leave being in pending status?,2026
Can you check why my leave request hasn’t been processed?,2026
Why is my leave application awaiting approval?,2026
What could be preventing my leave from being approved?,2026
Why is there a delay in processing my leave application?,2026
What is the issue with my leave application?,2026
Why is my leave request not moving forward?,2026
Can you clarify the reason for my leave being on hold?,2026
What’s holding up my leave approval?,2026
Why is my leave still under review?,2026
What’s the reason behind the pending status of my leave?,2026
Why hasn’t my leave been processed yet?,2026
wat is the reason my leave request hasn’t been approved yet?,2026
Can you provide the reason for the delay in my leave approval?,2026
Is it possible to cancel a leave request once it's submitted?,2027
"Is it feasible to cancel an applied leave, and how should I proceed?",2027
How I cancel my leave application?,2027
How do I cancel my leave applications?,2027
"I want cancel leave, how?",2027
How do I cancel the approved leave?,2027
I want to cancel my leave application?,2027
Can you guide me on the process to cancel an applied leave?,2027
Is there a specific deadline for cancelling a leave application once it's submitted?,2027
How to cancel a leave request that has already been approved?,2027
What is the process of cancelling a leave application?,2027
What action required to cancel an approved leave application?,2027
Where can I perform leave cancellation within the company?,2027
Can you provide me with the steps to follow to cancel my leave application?,2027
How can I cancel a leave request that I've already submitted?,2027
Is there a way to retract or cancel a leave application after it's been submitted?,2027
What is the procedure if I want to cancel an approved leave request?,2027
Can I cancel my leave application if I no longer need it?,2027
"Is it possible to cancel my leave request, and if so, what are the steps involved?",2027
Can you explain the process for cancelling a leave application?,2027
How do I initiate the cancellation of a leave request?,2027
Can you guide me on how to cancel my approved leave?,2027
What steps should I follow to cancel my leave request?,2027
What is the steps to cancel a leave application?,2027
Can I cancel my leave application even if it's already in the approval process?,2027
Could you explain the procedure to cancel a leave request?,2027
What should I do for leave cancellation?,2027
"Can I cancel my leave application online, or is it done through HR?",2027
How quickly can a leave request be canceled once initiated?,2027
How do I navigate to cancel an approved leave application?,2027
Can you guide me on how to find the option to cancel an approved leave?,2027
Where can I go to cancel my approved leave application?,2027
How can I access the option to cancel my approved leave?,2027
What's the process for navigating to cancel an approved leave?,2027
Can you direct me to the page where I can cancel my approved leave?,2027
How to cancel approved leave?,2027
Is it possible to retract approved leave?,2027
Can I initiate the process to cancel previously approved leave?,2027
Am I allowed to undo leave that has already been approved?,2027
Is there a way to cancel leave that has been officially approved?,2027
Am I permitted to revoke previously approved leave using the system?,2027
Is it within policy to cancel leave that has already been formally approved?,2027
Can I withdraw leave that has been officially approved?,2027
How do I cancel leave that has already been approved through the proper channels?,2027
Is it acceptable to use the formal process to retract approved leave?,2027
Am I within my rights to retract leave that has been formally approved?,2027
Can I cancel leave that has been approved through the proper channels?,2027
Am I allowed to initiate the process to cancel leave that has been officially approved?,2027
Is it within the rules to retract leave that has been formally approved?,2027
Can I use the system to formally cancel leave that has already been approved?,2027
Am I permitted to cancel previously approved leave using the application system?,2027
Is it possible to cancel leave that has been officially approved through the system?,2027
Is it possible for me to cancel my leave application?,2027
Can you guide me on the steps to cancel my leave application?,2027
How can I cancel my leave application?,2027
I want to cancel my leave application. Can you provide guidance?,2027
Can you please help me to cancel my upcoming leave application?,2027
"I want to cancel my leave application, please help me.",2027
Help me cancel my applied leave for tomorrow?,2027
Can you help me cancel my upcoming leave application?,2027
I need to cancel my leave application. Can you help with this?,2027
Please help me cancel my upcoming leave application.,2027
Can you assist me in the process of leave cancellation?,2027
I'd like to cancel my leave. Can you help me with the cancellation?,2027
Is it possible for you to cancel my leave application?,2027
"Help me cancel my leave application, please.",2027
I want to cancel my applied leave. Can you assist with that?,2027
Please assist me to cancel my leave.,2027
Can you help me cancel my upcoming leave application?,2027
Is it possible for you to cancel my leave?,2027
Can you assist with cancellation of my applied leave?,2027
Could you please cancel my leave for tomorrow?,2027
I need help to cancel my leave. Can you assist me?,2027
Can you guide me through the process of my upcoming leave application cancellation?,2027
I'd like to cancel my leave. Can you help me with the cancellation?,2027
Please provide assistance in cancellation of my leave.,2027
"Can you assist me in cancelling my leave, please.",2027
Is it possible for you to perform leave cancellation on my behalf?,2027
I need help canceling my leave. Can you assist with that?,2027
Can you guide me through the process of cancellation of my leave?,2027
How many days of emergency leave do I remain?,2032
Emergency leave balance?,2032
How many days of emergency leave do I have remaining in my balance for this year?,2032
Can you provide me with information on my current emergency leave balance?,2032
What formula is utilized to calculate my current emergency leave bal?,2032
How do I calculate for emergency leave balance?,2032
Can you guide me on the process of calculating emergency leave bal in our company?,2032
What are the steps to follow when calculating the balance of emergency leave?,2032
Is there a specific procedure for computing an emergency leave balance?,2032
How can I calculate the balance of emergency leave?,2032
How to calculate emergency leave balance in the system?,2032
Can you provide instructions on how to calculate emergency leave balance?,2032
What information do I need to include when calculating emergency leave balance?,2032
How to find out emergency leave balance?,2032
How to make sure my calculation for emergency leave balance is accurate?,2032
Can you provide a breakdown of the factors considered when calculating emergency leave balance?,2032
How frequently is the emergency leave bal calculated and updated in our company's system?,2032
Is there a specific software or module for calculating emergency leave balance?,2032
Can you explain the process for calculating emergency leave balance?,2032
How can I calculate my current emergency leave balance in the company's system?,2032
What is the formula of emergency leave bal calculation?,2032
Can you clarify the formula used to calculate the balance of emergency leave?,2032
Teach me how to calculate balance of emergency leave?,2032
What steps should I follow to calculate emergency leave balance correctly?,2032
How is the balance for Emergency Leave (EL) calculated?,2032
Can you provide guidance on how to calculate emergency leave remaining?,2032
Process to get the balance of emergency leave?,2032
What data is required when calculating the balance of emergency leave?,2032
Can you explain the process for emergency leave balance calculation?,2032
How to calculate the balance of EL?,2032
What is the formula to calculate EL balance?,2032
How to calculate EL balance accurately?,2032
Are there any formulas to calculate the balance of emergency leave?,2032
Can you provide information on the process to calculate the balance of emergency leave?,2032
How to compute the remaining balance of emergency leave?,2032
How is my current emergency leave balance calculated?,2032
Can you explain the calculation method for emergency leave balance in our company?,2032
What formula is used to determine my current emergency leave balance?,2032
Could you guide me on calculating my remaining emergency leave days for this year?,2032
Is there a specific system or method for emergency leave balance calculation?,2032
How do I calculate the balance of emergency leave?,2032
Can you teach me the process for calculating emergency leave balance?,2032
What steps should I follow to calculate my emergency leave balance accurately?,2032
How frequently is the emergency leave balance updated in our company's system?,2032
How is EL balance calculated?,2032
Can you explain how EL balance is calculated in our company?,2032
What is the formula used to calculate my current EL balance?,2032
Could you guide me on how to calculate my remaining EL days for this year?,2032
Is there a specific method or system we use to calculate EL balance?,2032
Can I calculate days of my current EL remaining?,2032
Is there a particular method or system employed to calculate the EL balance?,2032
Can you teach me about the method to calculate EL balance?,2032
How do I compute the number of EL days I have left?,2032
What formula is utilized to calculate my current EL balance?,2032
How do I calculate for EL balance?,2032
Can you guide me on the process of calculating EL balance in our company?,2032
What are the steps to follow when calculating the balance of EL?,2032
Is there a specific procedure for computing an EL balance?,2032
How can I calculate the balance of EL?,2032
How to calculate EL balance in the system?,2032
Can you provide instructions on how to calculate EL balance?,2032
What information do I need to include when calculating EL balance?,2032
How to find out EL balance?,2032
How to make sure my calculation for EL balance is accurate?,2032
Can you provide a breakdown of the factors considered when calculating EL balance?,2032
How frequently is the EL balance calculated and updated in our company's system?,2032
Is there a specific software or module for calculating EL balance?,2032
Can you explain the process for calculating EL balance?,2032
How can I calculate my current EL balance in the company's system?,2032
What is the formula of EL balance calculation?,2032
Can you clarify the formula used to calculate the balance of EL?,2032
Teach me how to calculate balance of EL?,2032
What steps should I follow to calculate EL balance correctly?,2032
Can you provide guidance on how to calculate EL remaining?,2032
Process to get the balance of EL?,2032
May I know this month and next month's public holiday?,2037
How many public holidays are there this month?,2037
This/next month public holiday?,2037
Does this month have any holidays?,2037
Public holiday on this month?,2037
Can I see a list of public holidays for this month?,2037
Any public holidays for July?,2037
List of public holidays this month?,2037
I'd like to see a list of public holidays for this month.,2037
Are there any public holidays scheduled for this month or the next?,2037
Can you provide information about the public holidays for this month and next month?,2037
How many public holidays are there in this month?,2037
Could you list the public holidays for this month and the following month?,2037
Are there any public holidays this month?,2037
Can you display a list of public holidays for the current month?,2037
Is there a public holiday scheduled for July?,2037
"I'd like to see a list of public holidays for this month, please.",2037
What are the public holidays for this month?,2037
Could you tell me if there are any public holidays this month?,2037
Can you show me a list of public holidays for this month and the next?,2037
May I know the public holidays for this month and next month?,2037
How many public holidays are there this month?,2037
What are the public holidays for this and next month?,2037
Are there any holidays this month?,2037
Are there any public holidays scheduled for this month?,2037
Can I see a list of public holidays for this month?,2037
Are there any public holidays in July?,2037
Can you provide a list of public holidays for this month?,2037
"I'd like to see the public holidays for this month, please.",2037
How many public holidays are there this month?,2037
Can you list the public holidays for this month and the next?,2037
What are the public holidays for this month and next month?,2037
Are there any holidays in this month?,2037
Can you display a list of public holidays for the current month?,2037
Is there a public holiday scheduled for July?,2037
I'd like to see a list of public holidays for this month and the next.,2037
What are the public holidays for this month?,2037
Could you tell me if there are any public holidays this month?,2037
Can you show me a list of public holidays for this month and the next?,2037
Tell me about the public holidays for this and next month.,2037
I'd like to know if there are any public holidays between June 15th and July 15th.,2037
What are the public holidays for the next two months?,2037
Tell me about any public holidays from August 1st to September 30th.,2037
Are there any holidays between now and the end of the year?,2037
I need to check if there are any public holidays in the first quarter of next year.,2037
Can you provide a list of public holidays for the summer months?,2037
Tell me if there are any public holidays during the school holidays in December.,2037
I'd like to see the public holidays for the fall season.,2037
May I know this month and next month's PH?,2037
How many PH are there this month?,2037
This/next month PH?,2037
PH on this month?,2037
Can I see a list of PH for this month?,2037
Any PH for July?,2037
List of PH this month?,2037
I'd like to see a list of PH for this month.,2037
Are there any PH scheduled for this month or the next?,2037
Can you provide information about the PH for this month and next month?,2037
How many PH are there in this month?,2037
Could you list the PH for this month and the following month?,2037
Are there any PH this month?,2037
Can you display a list of PH for the current month?,2037
Is there a PH scheduled for July?,2037
"I'd like to see a list of PH for this month, please.",2037
What are the PH for this month?,2037
Could you tell me if there are any PH this month?,2037
Can you show me a list of PH for this month and the next?,2037
May I know the PH for this month and next month?,2037
How many PH are there this month?,2037
What are the PH for this and next month?,2037
Are there any PH scheduled for this month?,2037
Can I see a list of PH for this month?,2037
Are there any PH in July?,2037
Can you provide a list of PH for this month?,2037
"I'd like to see the PH for this month, please.",2037
How many PH are there this month?,2037
Can you list the PH for this month and the next?,2037
What are the PH for this month and next month?,2037
Can you display a list of PH for the current month?,2037
Is there a PH scheduled for July?,2037
I'd like to see a list of PH for this month and the next.,2037
What are the PH for this month?,2037
Could you tell me if there are any PH this month?,2037
Can you show me a list of PH for this month and the next?,2037
Tell me about the PH for this and next month.,2037
I'd like to know if there are any PH between June 15th and July 15th.,2037
What are the PH for the next two months?,2037
Tell me about any PH from August 1st to September 30th.,2037
I need to check if there are any PH in the first quarter of next year.,2037
Can you provide a list of PH for the summer months?,2037
Tell me if there are any PH during the school holidays in December.,2037
I'd like to see the PH for the fall season.,2037
What are the company's holiday dates for this year?,2038
Can you provide me with a list of the company's scheduled holiday dates for this year?,2038
What are the official public holidays observed by the company for the current year?,2038
What are the official PH observed by the company for the current year?,2038
Are there any specific dates that the company will be closed for holidays this year?,2038
Can you let me know which days the company will be observing as holidays in the current calendar year?,2038
How many company holidays are available for this year?,2038
Can you show me the latest company's holiday dates?,2038
Are there any specific dates on which the company will be closed for holidays this year?,2038
Can you inform me about the days that the company will observe as holidays in the current calendar year?,2038
How many holidays are available for this year according to the company's schedule?,2038
Please show me the most up-to-date list of the company's holiday dates.,2038
Could you provide me with a list of the company's holiday dates for this year?,2038
What are the official public holidays recognized by the company for this year?,2038
What are the official PH recognized by the company for this year?,2038
Can you share the company's holiday schedule for this year?,2038
Are there any specific dates when the company will be closed for holidays in the current year?,2038
Please let me know which days the company plans to observe as holidays in the current calendar year.,2038
How many holidays are there this year according to the company's calendar?,2038
I'd like to see the most current list of the company's holiday dates.,2038
Can you inform me about the scheduled holidays for the company this year?,2038
What are the company's holiday dates for the current calendar year?,2038
Could you provide me with the company's holiday calendar for this year?,2038
When can I expect the company to be closed for holidays this year?,2038
