idx,sentence,label
1,What is my gender?,1
2,What is my name?,1
3,What is my title?,1
4,What is my birth date?,1
5,What is my birth place?,1
6,What is my religion?,1
7,What is my marital status?,1
8,What is my mobile number?,1
9,What is my company email?,1
10,How many children do I have?,1
11,What is my race?,1
12,I am hungry.,0
13,What is the weather of today?,0
14,How's the stock market going?,0
15,Do you have a boyfriend?,0
16,Dont tell me that I am fat.,0
17,I am to greedy.,0
18,What is the output of a garbage?,0
19,"Today is a sunny day, I want to go out for a walk.",0
20,What is the book can I learn?,What book can help me learn?,0
21,What's the temperature now?,How warm is it right now?,0
