sentence,label
Tell me my name,1001
What's my name?,1001
Can you tell me my name?,1001
"I forgot my name, what is it?",1001
Please tell me my birth date.,1001
Where was I born?,1001
Give me my mobile number.,1001
What is the name of my company?,1001
Tell me my title.,1001
What's my official title?,1001
wats my name,1001
wats my gender,1001
How should employee records be updated effectively?,1002
What’s the best way to export employee data for reports?,1003
Could you show the total number of races for this company?,1004
Can I bypass rows with errors during the employee information import?,1005
What duties and tasks is the employee responsible for?,1006
How can I verify that my username change has been successfully applied in the system?,1007
What steps should I follow to set up a new employee account in the system?,1008
How do I go about removing an employee from the system?,1009
